City,State,Population
New York, New York,"8,336,817"
Los Angeles, California,"3,979,576"
Chicago, Illinois,"2,693,976"
Houston, Texas,"2,320,268"
Phoenix, Arizona,"1,680,992"
Philadelphia, Pennsylvania,"1,584,064"
San Antonio, Texas,"1,547,253"
San Diego, California,"1,423,851"
Dallas, Texas,"1,343,573"
San Jose, California,"1,021,795"
Austin, Texas,"978,908"
Jacksonville, Florida,"911,507"
Fort Worth, Texas,"909,585"
Columbus, Ohio,"898,553"
Charlotte, North Carolina,"885,708"
San Francisco, California,"881,549"
Indianapolis, Indiana,"876,384"
Seattle, Washington,"753,675"
Denver, Colorado,"727,211"
Washington, District of Columbia,"705,749"
Boston, Massachusetts,"692,600"
El Paso, Texas,"681,728"
Nashville, Tennessee,"670,820"
Detroit, Michigan,"670,031"
Oklahoma City, Oklahoma,"655,057"
Portland, Oregon,"654,741"
Las Vegas, Nevada,"651,319"
Memphis, Tennessee,"651,073"
Louisville, Kentucky,"617,638"
Baltimore, Maryland,"593,490"
Milwaukee, Wisconsin,"590,157"
Albuquerque, New Mexico,"560,513"
Tucson, Arizona,"548,073"
Fresno, California,"531,576"
Mesa, Arizona,"518,012"
Sacramento, California,"513,624"
Atlanta, Georgia,"506,811"
Kansas City, Missouri,"495,327"
Colorado Springs, Colorado,"478,221"
Omaha, Nebraska,"478,192"
Raleigh-durham, North Carolina,"474,069"
Miami, Florida,"467,963"
Long Beach, California,"462,628"
Oakland, California,"433,031"
Minneapolis, Minnesota,"429,606"
Tulsa, Oklahoma,"401,190"
Tampa, Florida,"399,700"
Arlington, Texas,"398,854"
New Orleans, Louisiana,"390,144"
